23/05/2010 10:40:42 ص | 127.0.0.1 | pmi0366.gofi.home | http://localhost:2000/DataBank/success.aspx
23/05/2010 10:40:47 ص | 127.0.0.1 | pmi0366.gofi.home | http://localhost:2000/DataBank/login.aspx?ReturnUrl=/DataBank/Members/Insertdata.aspx
23/05/2010 10:40:57 ص | 127.0.0.1 | pmi0366.gofi.home | http://localhost:2000/DataBank/login.aspx?ReturnUrl=/DataBank/Members/Insertdata.aspx
23/05/2010 10:41:14 ص | 127.0.0.1 | pmi0366.gofi.home | http://localhost:2000/DataBank/success.aspx
23/05/2010 11:34:04 ص | 127.0.0.1 | pmi0366.gofi.home | http://localhost:2000/DataBank/login.aspx?ReturnUrl=/DataBank/Members/Insertdata.aspx
23/05/2010 11:34:14 ص | 127.0.0.1 | pmi0366.gofi.home | http://localhost:2000/DataBank/login.aspx?ReturnUrl=/DataBank/Members/Insertdata.aspx
23/05/2010 11:35:34 ص | 127.0.0.1 | pmi0366.gofi.home | http://localhost:2000/DataBank/login.aspx?ReturnUrl=/DataBank/Members/Insertdata.aspx
23/05/2010 11:35:41 ص | 127.0.0.1 | pmi0366.gofi.home | http://localhost:2000/DataBank/login.aspx?ReturnUrl=/DataBank/Members/Insertdata.aspx
23/05/2010 11:35:46 ص | 127.0.0.1 | pmi0366.gofi.home | http://localhost:2000/DataBank/login.aspx?ReturnUrl=/DataBank/Members/Insertdata.aspx
23/05/2010 11:37:43 ص | 127.0.0.1 | pmi0366.gofi.home | http://localhost:2000/DataBank/login.aspx?ReturnUrl=/DataBank/Members/Insertdata.aspx
23/05/2010 11:38:00 ص | 127.0.0.1 | pmi0366.gofi.home | http://localhost:2000/DataBank/login.aspx?ReturnUrl=/DataBank/Members/Insertdata.aspx
23/05/2010 02:05:17 م | 192.168.116.70 | pmi0366.gofi.home | http://intra.ida.gov.eg/databank/Default.aspx
24/05/2010 10:05:10 ص | 127.0.0.1 | pmi0366.gofi.home | http://localhost:2000/DataBank/testDate.aspx
24/05/2010 10:05:28 ص | 127.0.0.1 | pmi0366.gofi.home | http://localhost:2000/DataBank/testDate.aspx
24/05/2010 10:11:34 ص | 127.0.0.1 | pmi0366.gofi.home | http://localhost:2000/DataBank/testDate.aspx
24/05/2010 10:12:21 ص | 127.0.0.1 | pmi0366.gofi.home | http://localhost:2000/DataBank/testDate.aspx
